grid_point, analysis_value, analysis_increment
[21, 12],5776.866170671274,13.084037091763093
[21, 13],5793.618736400231,8.419417412244002
[21, 14],5812.4444752353365,12.0047562673235
[21, 15],5831.853253532552,21.06451852443115
[21, 16],5846.270827977553,27.670956257185026
[21, 17],5856.799195334566,32.27302387009968
[21, 18],5860.386169778082,32.02633390878054
[21, 19],5859.524357760659,29.43248241672427
[21, 20],5857.606873361045,27.674590196787904
[21, 21],5857.732882028432,29.38272266436161
[22, 0],5331.994583236582,-72.33920412482894
[22, 1],5410.778068510633,-46.77675463919604
[22, 2],5481.102822653927,-33.18948678950892
[22, 3],5540.464270235629,-25.154933557610093
[22, 4],5592.716993603035,-11.306211494000308
[22, 5],5629.55797905305,-2.075882475885919
[22, 6],5660.134031541176,5.495755302223188
[22, 7],5685.058296107559,8.46785770643146
[22, 8],5705.680811721002,8.512200193415993
[22, 9],5724.6995179320675,9.242708613911418
[22, 10],5744.662691831838,11.816786309195777
[22, 11],5762.083581113346,9.680937828291462
[22, 12],5785.704602622069,10.373389846091413
[22, 13],5807.2052638775085,10.127414986441181
[22, 14],5824.0016368401675,11.146949128363303
[22, 15],5840.205689340725,16.713707992333184
[22, 16],5853.190216344896,21.88343731209534
[22, 17],5865.4936065072325,28.320361763081564
[22, 18],5872.733843030167,31.68473512661967
[22, 19],5872.067601554999,29.120696445314934
[22, 20],5862.102348624913,19.03322737599683
[22, 21],5861.530946564664,20.11473704378659
[23, 0],5347.2705189737735,-76.78279212756843
[23, 1],5433.681016056252,-43.612288105633525
[23, 2],5501.082941219588,-27.549087870698713
[23, 3],5560.204186790907,-12.420577673260595
[23, 4],5606.338788207923,-0.4401408604280732
[23, 5],5638.9046591249835,5.812182883426431
[23, 6],5670.9021849829605,14.50441966526705
[23, 7],5696.705090462249,16.553271652766853
[23, 8],5717.486637828672,14.065319415490194
[23, 9],5736.01439565764,12.198385468519518
[23, 10],5755.754884011204,13.710232655563232
[23, 11],5772.834348510165,11.68784713117384
[23, 12],5792.371031371116,9.425282271229662
[23, 13],5812.25706496331,7.893947795083477
[23, 14],5829.369432979759,8.664519773642496
[23, 15],5842.740926387749,10.821578036212486
[23, 16],5856.260655149066,16.033900714605807
[23, 17],5867.435763287237,20.49599080460939
[23, 18],5876.487559971004,24.116590682303467
[23, 19],5871.411390727151,14.882481478112823
[23, 20],5869.373327023196,9.887768247814165
[23, 21],5864.833788573062,3.5747960548678748
[24, 0],5372.901939550335,-68.38368085219372
[24, 1],5458.792324094812,-32.704917150399524
[24, 2],5521.070083691968,-15.999355757398007
[24, 3],5571.274207434701,-4.133255367809397
[24, 4],5611.9297819753765,5.408102616311226
[24, 5],5641.859594135121,9.877057084130684
[24, 6],5670.773595130649,15.091800603695447
[24, 7],5698.169062313715,16.964254334213365
[24, 8],5722.841336230785,15.512252598799932
[24, 9],5745.661071103437,15.609352739969836
[24, 10],5764.048383629685,14.915132464594535
[24, 11],5781.67207338723,14.002656746327375
[24, 12],5800.062196477783,11.881566331601789
[24, 13],5816.517728819461,7.495417946272028
[24, 14],5831.5155165598135,5.656986383391086
[24, 15],5843.726858864163,5.871384413904707
[24, 16],5856.333611418129,9.331194621870964
[24, 17],5869.038437400943,14.264044553576241
[24, 18],5876.939051510442,15.443711052012986
[24, 19],5875.810362324026,8.868602102967998
[24, 20],5875.133711528191,4.172798918893022
[24, 21],5875.6006442605885,1.9213970796927242
[25, 0],5411.507206924544,-44.31096762565812
[25, 1],5477.116458859549,-22.29281909207384
[25, 2],5531.867045638524,-7.416533769829584
[25, 3],5576.071784004516,1.8913552194044314
[25, 4],5607.46605215162,3.4824143069035927
[25, 5],5636.855786688119,7.488692387050833
[25, 6],5663.462467732193,9.805960304883229
[25, 7],5694.552877200435,13.751633021262023
[25, 8],5722.390233137017,12.7737127760347
[25, 9],5751.577742356112,16.978355680348614
[25, 10],5771.905093871684,17.43416072695163
[25, 11],5789.6746513224625,17.160641443486384
[25, 12],5805.402195828152,13.370015241438523
[25, 13],5818.907542289404,6.320417596138213
[25, 14],5832.56044029631,2.350478003749231
[25, 15],5847.211477896041,3.8166704712884894
[25, 16],5860.293885559474,6.695321826233339
[25, 17],5870.6254303749065,8.723313981595311
[25, 18],5879.084548472127,10.721527118370432
[25, 19],5880.834596254138,7.940404387926719
[25, 20],5879.382274804782,3.613859236341341
[25, 21],5875.9570874077235,-1.5190501842789672
[26, 0],5441.286230670667,-25.906772757096405
[26, 1],5494.680141214094,-6.709970347561466
[26, 2],5541.447097669577,6.103042530031416
[26, 3],5580.95373621935,12.336197740956777
[26, 4],5601.663727076336,2.581868562766431
[26, 5],5631.402805141354,5.8391137386661285
[26, 6],5657.4142337076155,6.542821400303183
[26, 7],5689.321885923504,9.746482348307836
[26, 8],5720.518909442572,9.656360707742351
[26, 9],5753.00654029917,15.070533822338803
[26, 10],5776.4095419238465,17.939218589644952
[26, 11],5793.201782822917,17.12684491686923
[26, 12],5806.104200538932,11.039995575733883
[26, 13],5823.785403092395,7.595508659392181
[26, 14],5837.749283458887,2.295313195295421
[26, 15],5855.195155108713,5.052546705748682
[26, 16],5867.6378350313435,6.835401348628693
[26, 17],5876.54297562269,8.241379418884208
[26, 18],5881.274534604606,8.072981924277883
[26, 19],5881.666289877197,5.516500108441505
[26, 20],5879.132731175241,1.3071297526748822
[26, 21],5875.945822997676,-2.810825829146779
[27, 0],5469.318805375484,-6.262891113548903
[27, 1],5507.751652187814,7.886172220790286
[27, 2],5546.450706492217,19.283034493538253
[27, 3],5580.31474397366,21.2593417709777
[27, 4],5587.044328960122,-4.621276256818419
[27, 5],5612.455879794927,-8.006917822904143
[27, 6],5634.182182086826,-12.656210104996717
[27, 7],5663.4485636345735,-12.707123492404207
[27, 8],5704.489184362634,-4.625752896775339
[27, 9],5737.835092254037,-0.7331004877451051
[27, 10],5766.395892395588,5.897192805160557
[27, 11],5794.912788839769,16.57703967447378
[27, 12],5815.385730445857,17.584658000107993
[27, 13],5828.867931479003,7.757130865807085
[27, 14],5848.800318406521,5.835130990073594
[27, 15],5864.940545156043,6.59497392495723
[27, 16],5877.556169803837,9.800897323756544
[27, 17],5883.8525307996215,10.635308017817806
